epoch;MAE;MSE;loss;val_MAE;val_MSE;val_loss
0;0.4326556921005249;0.2724018692970276;0.2724018692970276;0.6412835121154785;0.43124791979789734;0.43124791979789734
1;0.23606455326080322;0.08589283376932144;0.08589283376932144;0.5658830404281616;0.33851712942123413;0.33851712942123413
2;0.18793457746505737;0.055016763508319855;0.055016763508319855;0.4317001402378082;0.20360079407691956;0.20360079407691956
3;0.16768570244312286;0.04356928914785385;0.04356928914785385;0.2549683153629303;0.07880143076181412;0.07880143076181412
4;0.1552484929561615;0.03855796158313751;0.03855796158313751;0.12863795459270477;0.024455269798636436;0.024455269798636436
5;0.14826005697250366;0.034918785095214844;0.034918785095214844;0.0957646444439888;0.013657248578965664;0.013657248578965664
6;0.14244036376476288;0.03272797912359238;0.03272797912359238;0.09025605022907257;0.01308735553175211;0.01308735553175211
7;0.14288896322250366;0.03254038840532303;0.03254038840532303;0.09184574335813522;0.013761605136096478;0.013761605136096478
8;0.13759705424308777;0.030543625354766846;0.030543625354766846;0.09422434866428375;0.014558430761098862;0.014558430761098862
9;0.13630619645118713;0.030295059084892273;0.030295059084892273;0.097147636115551;0.015861336141824722;0.015861336141824722
10;0.13389119505882263;0.028974533081054688;0.028974533081054688;0.09451393783092499;0.014966392889618874;0.014966392889618874
11;0.13039056956768036;0.027510326355695724;0.027510326355695724;0.09759794175624847;0.015674689784646034;0.015674689784646034
12;0.1271049529314041;0.026616781949996948;0.026616781949996948;0.09138581156730652;0.013910681940615177;0.013910681940615177
13;0.1236637681722641;0.0251214187592268;0.0251214187592268;0.0927206352353096;0.014182321727275848;0.014182321727275848
14;0.12702684104442596;0.026346033439040184;0.026346033439040184;0.09445729106664658;0.015063084661960602;0.015063084661960602
15;0.12310726195573807;0.02448125183582306;0.02448125183582306;0.09297984093427658;0.013976231217384338;0.013976231217384338
16;0.12104259431362152;0.023974662646651268;0.023974662646651268;0.09072443097829819;0.014014773070812225;0.014014773070812225
17;0.11968545615673065;0.02359260618686676;0.02359260618686676;0.09228462725877762;0.014336573891341686;0.014336573891341686
18;0.11890549957752228;0.023198148235678673;0.023198148235678673;0.08981248736381531;0.013627956621348858;0.013627956621348858
19;0.11836894601583481;0.022845597937703133;0.022845597937703133;0.08930746465921402;0.0134938545525074;0.0134938545525074
20;0.11825370043516159;0.022563453763723373;0.022563453763723373;0.09272460639476776;0.014203191734850407;0.014203191734850407
21;0.11642281711101532;0.022112039849162102;0.022112039849162102;0.09030088037252426;0.013625526800751686;0.013625526800751686
