Indicator,Mean,Std
AROON_down_3,52.5121412803532,40.59089576623115
AROON_up_3,48.16777041942605,40.728600859896325
AROON_down_6,53.0242825607064,37.195348286267034
AROON_up_6,47.818984547461376,37.340166257039684
AROON_down_9,53.54819720382634,35.88935545348501
AROON_up_9,47.22884473877851,35.81186330772571
AROON_down_12,53.86975717439294,35.06869826742366
AROON_up_12,47.13024282560707,35.16651395249636
AROON_down_18,54.347314201618836,34.292616547394296
AROON_up_18,47.47755702722589,34.47781269709391
AROON_down_24,55.22626931567329,33.858168087934885
AROON_up_24,47.17880794701987,34.19342308962603
AROON_down_30,55.66357615894041,33.66852083244745
AROON_up_30,46.683443708609275,34.03210798201842
BB_upper_3,7.276952069169539,7.354075525969686
BB_middle_3,0.24480774883387932,4.830645916914029
BB_lower_3,-6.78733657150178,7.093482507985294
BB_upper_6,11.143038721527459,10.525976085247814
BB_middle_6,0.5391287325259024,7.328694154078536
BB_lower_6,-10.064781256475653,9.269683398981732
BB_upper_9,13.646280213710977,12.523996339300798
BB_middle_9,0.7810840026505738,8.79057446995086
BB_lower_9,-12.08411220840983,10.597335975915117
BB_upper_12,15.529368818339561,13.874394190515913
BB_middle_12,0.9845172391059638,9.755105081925805
BB_lower_12,-13.560334340127634,11.5258487975915
BB_upper_18,18.496475396274064,16.02086477950885
BB_middle_18,1.3544789514220732,11.281213649628562
BB_lower_18,-15.787517493429917,12.906511894944163
BB_upper_24,20.83528385824358,17.57061851601879
BB_middle_24,1.6869057054499963,12.441899336099326
BB_lower_24,-17.461472447343592,13.994843775718868
BB_upper_30,22.883421286722015,18.9763579651814
BB_middle_30,2.0054945156284587,13.480210513993974
BB_lower_30,-18.8724322554651,14.87149491199152
EMA_3,0.22725735974964587,3.5839591998450855
EMA_6,0.49647733779347436,5.811281974413442
EMA_9,0.7211256968970965,7.127836480142764
EMA_12,0.920947811861096,8.08495460876729
EMA_18,1.2762025937066581,9.488504626690482
EMA_24,1.5935767498851594,10.528594678289723
EMA_30,1.8858328733666236,11.359255963041262
EMA_36,2.1600681380475013,12.053589165241203
EMA_42,2.420694205775747,12.65385391376918
EMA_48,2.6704532688675284,13.186507399735795
EMA_54,2.911605946303293,13.668787819057744
EMA_60,3.146041888838668,14.112248302558957
High_Low_Diff_3,-84.11383963236479,8.432364280935817
High_Low_Diff_6,-77.14710794930006,11.841288550006185
High_Low_Diff_9,-72.11505317805457,14.289049958584654
High_Low_Diff_12,-68.04158760625347,16.12393623904785
High_Low_Diff_18,-61.34772673470778,19.239684561249423
High_Low_Diff_24,-55.81716395357544,21.73764170348698
High_Low_Diff_30,-50.83153455678921,23.860611722137392
High_Low_Diff_36,-46.35092417544078,25.996723828836544
High_Low_Diff_42,-42.40145419157459,27.929597904353543
