epoch;MAE;MSE;loss;val_MAE;val_MSE;val_loss
0;0.35976117849349976;0.20241166651248932;0.525368332862854;0.623119592666626;0.4082462787628174;0.9452942609786987
1;0.22053536772727966;0.08044474571943283;0.2710360288619995;0.531511127948761;0.3023640513420105;0.7685067057609558
2;0.17482833564281464;0.04896809160709381;0.18956121802330017;0.3774224519729614;0.16125506162643433;0.4825316369533539
3;0.15436002612113953;0.03815193474292755;0.15653903782367706;0.20958034694194794;0.05806140601634979;0.21028266847133636
4;0.14333945512771606;0.03291737660765648;0.13752414286136627;0.11357849091291428;0.01932283118367195;0.07834459841251373
5;0.13824562728405;0.030863674357533455;0.12978164851665497;0.09648068249225616;0.014143085107207298;0.05428032949566841
6;0.1350165754556656;0.02943555824458599;0.12494291365146637;0.10094334930181503;0.015989743173122406;0.060480471700429916
7;0.1326691061258316;0.02880942076444626;0.12149270623922348;0.09948946535587311;0.0160633884370327;0.060067832469940186
8;0.12931230664253235;0.02751978486776352;0.11602134257555008;0.10394979268312454;0.017503900453448296;0.06572095304727554
9;0.12652981281280518;0.025866441428661346;0.11024590581655502;0.0989793986082077;0.01611335203051567;0.06027603894472122
10;0.1252395361661911;0.025419512763619423;0.10766472667455673;0.09873957931995392;0.015954844653606415;0.05988320708274841
11;0.12334930896759033;0.024827534332871437;0.10476604104042053;0.10189084708690643;0.016474638134241104;0.06291010975837708
12;0.12132969498634338;0.02414574846625328;0.10199815034866333;0.09807951003313065;0.016011761501431465;0.05981986224651337
13;0.11950308084487915;0.023539910092949867;0.09948606789112091;0.09685852378606796;0.015329800546169281;0.057672709226608276
14;0.11679467558860779;0.02245904877781868;0.09484712779521942;0.09499462693929672;0.0151600306853652;0.056352417916059494
15;0.11659785360097885;0.0223739854991436;0.09581977128982544;0.09123116731643677;0.013921121135354042;0.05201970413327217
16;0.11517373472452164;0.021896421909332275;0.09279423952102661;0.0924152359366417;0.013824333436787128;0.05214491859078407
17;0.11502166092395782;0.021896136924624443;0.09256314486265182;0.090589240193367;0.013748815283179283;0.05122878775000572
18;0.11375676840543747;0.021399017423391342;0.09050870686769485;0.09201734513044357;0.014007214456796646;0.05221974104642868
19;0.11216092854738235;0.020858321338891983;0.08804091066122055;0.0949782133102417;0.014918476343154907;0.055931881070137024
20;0.1117914691567421;0.02060537412762642;0.08825941383838654;0.09215573966503143;0.014192269183695316;0.05296832323074341
21;0.11086558550596237;0.02058323659002781;0.08651605993509293;0.09080363810062408;0.013824040070176125;0.05135073885321617
22;0.10816402733325958;0.019475053995847702;0.08150989562273026;0.09137332439422607;0.014113908633589745;0.052602898329496384
23;0.10809318721294403;0.01922765001654625;0.08103590458631516;0.0894334614276886;0.013295663520693779;0.04944097623229027
24;0.10674437135457993;0.018863528966903687;0.07986801862716675;0.0905124619603157;0.013461953029036522;0.05028931051492691
25;0.10593795031309128;0.01860431581735611;0.07885494083166122;0.09025506675243378;0.0135213453322649;0.0505705252289772
26;0.10631904006004333;0.018819155171513557;0.0799313560128212;0.08892782777547836;0.0136543158441782;0.050549376755952835
27;0.10612373799085617;0.018517816439270973;0.07860362529754639;0.09045643359422684;0.013548566028475761;0.05062628164887428
28;0.10579637438058853;0.018505699932575226;0.07811841368675232;0.08878282457590103;0.013387404382228851;0.04963740333914757
29;0.10385599732398987;0.01789266988635063;0.07557358592748642;0.0916980430483818;0.01446432713419199;0.053667280822992325
30;0.10472291707992554;0.01791488006711006;0.07617916166782379;0.08837640285491943;0.013456647284328938;0.04969744011759758
