Date,MACD_3,MACD_signal_3,MACD_hist_3,MACD_6,MACD_signal_6,MACD_hist_6,MACD_9,MACD_signal_9,MACD_hist_9,MACD_12,MACD_signal_12,MACD_hist_12,MACD_18,MACD_signal_18,MACD_hist_18,MACD_24,MACD_signal_24,MACD_hist_24,MACD_30,MACD_signal_30,MACD_hist_30
2003-01-02,-0.32875897583955904,0.002245076607856278,-0.3310040524474153,-0.14903075907855978,-0.043061589595013904,-0.10596916948354587,-0.3387048141710025,-0.38977735257742774,0.05107253840642523,-0.6843692457539348,-0.882438216887548,0.19806897113361321,-1.236199147064653,-1.4576013167976398,0.22140216973298688,-1.4688335310167844,-1.417064637893381,-0.05176889312340327,-1.3808798175771422,-0.9513900282664335,-0.4294897893107087
2003-01-03,-0.7979819461774653,-0.39786843478480455,-0.40011351139266077,-0.4634172735907214,-0.16316321359378747,-0.3002540599969339,-0.557156231111847,-0.4232531282843116,-0.13390310282753537,-0.8394437224098148,-0.875823679275589,0.03637995686577422,-1.3297589284010876,-1.4441442232822133,0.1143852948811257,-1.544045432836203,-1.4272231014888068,-0.11682233134739617,-1.4539738739755919,-0.983814792505734,-0.47015908146985785
2003-01-06,-0.9133705077981986,-0.6556194712915016,-0.25775103650669706,-0.6437730067434693,-0.30048029735083936,-0.3432927093926299,-0.7036107255610418,-0.47932464773965766,-0.2242860778213841,-0.9489048753507952,-0.8870669402102361,-0.06183793514055902,-1.398850712120936,-1.4393764852652366,0.040525773144300725,-1.602638740705686,-1.4412563526261573,-0.16138238807952865,-1.5143180016624775,-1.0180408059997175,-0.4962771956627601
2003-01-07,-0.851687514081398,-0.7536534926864498,-0.09803402139494821,-0.7281233922110779,-0.42266403873947894,-0.30545935347159897,-0.7927861167216079,-0.5420169415360477,-0.2507691751855602,-1.0202604220681586,-0.907558245111455,-0.11270217695670359,-1.4464954652583302,-1.440125851580299,-0.0063696136780311274,-1.6462855757004107,-1.4576586904720976,-0.18862688522831306,-1.5630034220615485,-1.0531996844553195,-0.509803737606229
2003-01-08,-0.6739443707950414,-0.7137989317407456,0.039854560945704165,-0.7240167387401364,-0.5087648101682383,-0.21525192857189812,-0.8217093229257699,-0.5979554178139922,-0.22375390511177773,-1.048218312842966,-0.9291982555316874,-0.11902005731127863,-1.46740205251864,-1.4429970306264401,-0.02440502189219984,-1.6704510618264017,-1.474682080180442,-0.1957689816459598,-1.5961072865010202,-1.0882259813614938,-0.5078813051395263
2003-01-09,-0.7907122496830858,-0.7522555907119157,-0.03845665897117012,-0.8455229129124398,-0.6049814109522959,-0.2405415019601439,-0.9371140626423369,-0.6657871467796611,-0.27132691586267577,-1.1441426218892232,-0.9622666195866929,-0.18187600230253032,-1.5355785484419755,-1.4527424535543911,-0.08283609488758437,-1.7306151706220945,-1.495156727415774,-0.23545844320632048,-1.6584592811597432,-1.125015226509768,-0.5334440546499752
2003-01-10,-0.7695039126098564,-0.7608797516608861,-0.008624160948970339,-0.9008723286458498,-0.6895216731504541,-0.21135065549539567,-1.0112674977318221,-0.7348832169700933,-0.27638428076172883,-1.2122551034622866,-1.0007263863367843,-0.21152871712550225,-1.5883398560752937,-1.4670158643460651,-0.12132399172922859,-1.7802790248393414,-1.5179665112096594,-0.262312513629682,-1.712759386937801,-1.1629342046018991,-0.5498251823359019
2003-01-13,-0.5817636130647053,-0.6713216823627957,0.0895580692980904,-0.8524503942066488,-0.7360727363093669,-0.11637765789728194,-1.0115727022757284,-0.7902211140312203,-0.22135158824450807,-1.2250792016446113,-1.03524220407645,-0.1898369975681613,-1.6057403532089083,-1.4816184421211012,-0.12412191108780712,-1.803937160872394,-1.5408441631826781,-0.26309299768971584,-1.7462271043445305,-1.2005660045852946,-0.5456610997592359
2003-01-14,-0.5111071649790695,-0.5912144236709326,0.08010725869186308,-0.8345920015689465,-0.7642210978121039,-0.07037090375684263,-1.0266087088405165,-0.8374986329930796,-0.1891100758474369,-1.248249087865588,-1.0680124938901636,-0.18023659397542446,-1.630244366380559,-1.4972632762536757,-0.1329810901268833,-1.8329742156206308,-1.5642145673777144,-0.2687596482429164,-1.784000332890308,-1.2382069289920696,-0.5457934038982384
2003-01-15,-0.24830338988811462,-0.4197589067795236,0.17145551689140898,-0.6971937448113188,-0.7450704255261653,0.04787668071484652,-0.951704013730378,-0.8603397091405393,-0.0913643045898388,-1.201032789380367,-1.0884771547348102,-0.11255563464555673,-1.6072875362504426,-1.508844777305967,-0.09844275894447563,-1.8261855468009536,-1.5851722457315736,-0.24101330106938001,-1.7926464961412947,-1.2739772236468583,-0.5186692724944364
