Date,Min_Low_3,Min_Low_6,Min_Low_9,Min_Low_12,Min_Low_18,Min_Low_24,Min_Low_30,Min_Low_36,Min_Low_42,Min_Low_48,Min_Low_54,Min_Low_60
2003-01-02,25.31999969482422,25.31999969482422,25.31999969482422,25.31999969482422,25.31999969482422,23.96999931335449,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547
2003-01-03,24.68000030517578,24.68000030517578,24.68000030517578,24.68000030517578,24.68000030517578,24.68000030517578,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547
2003-01-06,24.290000915527344,24.290000915527344,24.290000915527344,24.290000915527344,24.290000915527344,24.290000915527344,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547
2003-01-07,24.290000915527344,24.290000915527344,24.290000915527344,24.290000915527344,24.290000915527344,24.290000915527344,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547
2003-01-08,24.290000915527344,24.290000915527344,24.290000915527344,24.290000915527344,24.290000915527344,24.290000915527344,23.6200008392334,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547
2003-01-09,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,23.96999931335449,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547
2003-01-10,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,23.96999931335449,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547
2003-01-13,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547
2003-01-14,24.149999618530277,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547
2003-01-15,24.3799991607666,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547
2003-01-16,24.3799991607666,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,23.6200008392334,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547
2003-01-17,24.690000534057617,24.149999618530277,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,23.96999931335449,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547
2003-01-21,24.690000534057617,24.3799991607666,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,23.96999931335449,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547
2003-01-22,25.200000762939453,24.3799991607666,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547
2003-01-23,26.729999542236328,24.690000534057617,24.149999618530277,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547
2003-01-24,27.350000381469727,24.690000534057617,24.3799991607666,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547
2003-01-27,27.350000381469727,25.200000762939453,24.3799991607666,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,23.6200008392334,23.049999237060547,23.049999237060547,23.049999237060547
2003-01-28,28.450000762939453,26.729999542236328,24.690000534057617,24.149999618530277,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,23.96999931335449,23.049999237060547,23.049999237060547,23.049999237060547
2003-01-29,31.049999237060547,27.350000381469727,24.690000534057617,24.3799991607666,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,23.96999931335449,23.049999237060547,23.049999237060547,23.049999237060547
2003-01-30,30.65999984741211,27.350000381469727,25.200000762939453,24.3799991607666,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,23.049999237060547,23.049999237060547,23.049999237060547
2003-01-31,30.61000061035156,28.450000762939453,26.729999542236328,24.690000534057617,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,23.049999237060547,23.049999237060547,23.049999237060547
2003-02-03,30.61000061035156,30.61000061035156,27.350000381469727,24.690000534057617,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,23.049999237060547,23.049999237060547,23.049999237060547
2003-02-04,30.61000061035156,30.61000061035156,27.350000381469727,25.200000762939453,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,23.6200008392334,23.049999237060547,23.049999237060547
2003-02-05,30.8700008392334,30.61000061035156,28.450000762939453,26.729999542236328,24.149999618530277,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,23.96999931335449,23.049999237060547,23.049999237060547
2003-02-06,31.979999542236328,30.61000061035156,30.61000061035156,27.350000381469727,24.3799991607666,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,23.96999931335449,23.049999237060547,23.049999237060547
2003-02-07,31.979999542236328,30.61000061035156,30.61000061035156,27.350000381469727,24.3799991607666,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,24.020000457763672,23.049999237060547,23.049999237060547
