Date,High_Low_Mean_3,High_Low_Mean_6,High_Low_Mean_9,High_Low_Mean_12,High_Low_Mean_18,High_Low_Mean_24,High_Low_Mean_30,High_Low_Mean_36,High_Low_Mean_42,High_Low_Mean_48,High_Low_Mean_54,High_Low_Mean_60
2003-01-02,28.074999809265137,28.074999809265137,28.079999923706055,28.079999923706055,28.260000228881836,27.585000038146973,27.125,27.47499942779541,27.82499885559082,28.739999771118164,29.65999984741211,33.244998931884766
2003-01-03,27.15000057220459,27.755000114440918,27.755000114440918,27.760000228881836,27.940000534057617,27.940000534057617,27.125,27.47499942779541,27.82499885559082,28.28999900817871,29.329999923706055,32.81500053405762
2003-01-06,26.515000343322754,27.5600004196167,27.5600004196167,27.565000534057617,27.565000534057617,27.7450008392334,27.125,27.47499942779541,27.82499885559082,28.28999900817871,29.329999923706055,31.219999313354492
2003-01-07,24.99000072479248,27.5600004196167,27.5600004196167,27.565000534057617,27.565000534057617,27.7450008392334,27.125,27.125,27.82499885559082,28.28999900817871,29.329999923706055,30.114999771118164
2003-01-08,25.02500057220459,26.95500087738037,27.5600004196167,27.5600004196167,27.565000534057617,27.7450008392334,27.410000801086426,27.125,27.47499942779541,27.82499885559082,29.329999923706055,30.114999771118164
2003-01-09,24.890000343322754,26.380000114440918,27.425000190734863,27.425000190734863,27.43000030517578,27.610000610351562,27.585000038146973,27.125,27.47499942779541,27.82499885559082,29.329999923706055,29.65999984741211
2003-01-10,24.890000343322754,24.890000343322754,27.425000190734863,27.425000190734863,27.43000030517578,27.610000610351562,27.585000038146973,27.125,27.47499942779541,27.82499885559082,28.739999771118164,29.65999984741211
2003-01-13,24.75,24.890000343322754,26.820000648498535,27.425000190734863,27.43000030517578,27.610000610351562,27.610000610351562,27.125,27.47499942779541,27.82499885559082,28.28999900817871,29.329999923706055
2003-01-14,24.8149995803833,24.890000343322754,26.380000114440918,27.425000190734863,27.43000030517578,27.43000030517578,27.610000610351562,27.125,27.47499942779541,27.82499885559082,28.28999900817871,29.329999923706055
2003-01-15,25.19499969482422,25.015000343322754,25.015000343322754,27.425000190734863,27.43000030517578,27.43000030517578,27.610000610351562,27.125,27.125,27.82499885559082,28.28999900817871,29.329999923706055
2003-01-16,25.19499969482422,25.015000343322754,25.015000343322754,26.820000648498535,27.425000190734863,27.43000030517578,27.610000610351562,27.410000801086426,27.125,27.47499942779541,27.82499885559082,29.329999923706055
2003-01-17,25.350000381469727,25.07999992370606,25.015000343322754,26.380000114440918,27.425000190734863,27.43000030517578,27.610000610351562,27.585000038146973,27.125,27.47499942779541,27.82499885559082,29.329999923706055
2003-01-21,26.195000648498535,26.039999961853027,25.860000610351562,25.860000610351562,27.425000190734863,27.43000030517578,27.610000610351562,27.585000038146973,27.125,27.47499942779541,27.82499885559082,28.739999771118164
2003-01-22,27.140000343322754,26.729999542236328,26.550000190734863,26.550000190734863,27.425000190734863,27.43000030517578,27.610000610351562,27.610000610351562,27.125,27.47499942779541,27.82499885559082,28.28999900817871
2003-01-23,27.960000038146973,26.940000534057617,26.670000076293945,26.605000495910645,27.425000190734863,27.43000030517578,27.43000030517578,27.610000610351562,27.125,27.47499942779541,27.82499885559082,28.28999900817871
2003-01-24,29.880000114440918,28.550000190734863,28.394999504089355,28.21500015258789,28.21500015258789,28.21500015258789,28.21500015258789,28.21500015258789,27.729999542236328,27.729999542236328,27.82499885559082,28.28999900817871
2003-01-27,31.340001106262207,30.26500129699707,29.855000495910645,29.67500114440918,29.67500114440918,29.67500114440918,29.67500114440918,29.67500114440918,29.475001335144043,29.190000534057617,29.190000534057617,29.190000534057617
2003-01-28,31.89000129699707,31.030000686645508,30.010001182556152,29.74000072479248,29.67500114440918,29.67500114440918,29.67500114440918,29.67500114440918,29.65000057220459,29.190000534057617,29.190000534057617,29.190000534057617
2003-01-29,33.19000053405762,31.340001106262207,30.010001182556152,29.855000495910645,29.67500114440918,29.67500114440918,29.67500114440918,29.67500114440918,29.65000057220459,29.190000534057617,29.190000534057617,29.190000534057617
2003-01-30,32.56500053405762,31.340001106262207,30.26500129699707,29.855000495910645,29.67500114440918,29.67500114440918,29.67500114440918,29.67500114440918,29.67500114440918,29.190000534057617,29.190000534057617,29.190000534057617
2003-01-31,31.92500114440918,31.89000129699707,31.030000686645508,30.010001182556152,29.67500114440918,29.67500114440918,29.67500114440918,29.67500114440918,29.67500114440918,29.190000534057617,29.190000534057617,29.190000534057617
2003-02-03,31.530000686645508,32.970001220703125,31.340001106262207,30.010001182556152,29.67500114440918,29.67500114440918,29.67500114440918,29.67500114440918,29.67500114440918,29.190000534057617,29.190000534057617,29.190000534057617
2003-02-04,31.989999771118164,32.540000915527344,31.340001106262207,30.26500129699707,29.67500114440918,29.67500114440918,29.67500114440918,29.67500114440918,29.67500114440918,29.475001335144043,29.190000534057617,29.190000534057617
2003-02-05,32.11999988555908,31.989999771118164,31.89000129699707,31.030000686645508,29.74000072479248,29.67500114440918,29.67500114440918,29.67500114440918,29.67500114440918,29.65000057220459,29.190000534057617,29.190000534057617
2003-02-06,33.11000061035156,32.42500114440918,32.970001220703125,31.340001106262207,29.855000495910645,29.67500114440918,29.67500114440918,29.67500114440918,29.67500114440918,29.65000057220459,29.190000534057617,29.190000534057617
2003-02-07,33.14500045776367,32.46000099182129,32.540000915527344,31.340001106262207,29.855000495910645,29.67500114440918,29.67500114440918,29.67500114440918,29.67500114440918,29.67500114440918,29.190000534057617,29.190000534057617
