Date,RSI_3,RSI_6,RSI_9,RSI_12,RSI_18,RSI_24,RSI_30
2003-01-02,19.691252288742476,34.25202315620018,39.19173618184876,41.39621889708497,43.24186476780094,44.18571444610292,44.972919310472356
2003-01-03,16.34685598885694,31.251338518324857,36.85218208263986,39.51963884786656,41.93683642841407,43.20496564980156,44.192627220287186
2003-01-06,22.724315369798347,33.51548771877425,38.196716256904374,40.473260837035355,42.53172612616719,43.627919085836595,44.51523313838952
2003-01-07,30.343566373001572,35.93719874892295,39.581027383002116,41.43680048802524,43.12192527403344,44.04383723811041,44.83080264316271
2003-01-08,45.10514069725268,40.65367077476283,42.22790068290188,43.25854248059455,44.224673712194004,44.816301403801106,45.414731972578366
2003-01-09,22.360144671602246,31.693579558510198,36.47535105104349,39.02114505482736,41.49860263335217,42.84148427170705,43.87737037945052
2003-01-10,25.444174771574435,32.66745825150038,37.00333040451419,39.37542821085621,41.706668548772036,42.98485169569952,43.98464464948575
2003-01-13,50.08624467684143,41.02745727634392,41.53303159547821,42.40033203171894,43.47053204821576,44.19505250398228,44.887591103634044
2003-01-14,39.06638644303753,37.8213000230949,39.70559588584343,41.12665095742902,42.69230699495593,43.64504147322819,44.46571075142158
2003-01-15,68.5921544584137,50.929098627725935,47.156467794899534,46.15303311523707,45.62808188083313,45.65530310096656,45.962282406088995
2003-01-16,49.46737939492159,44.88891207136519,43.90946500326412,43.97448101292316,44.34853961468886,44.76891818259879,45.29068296212911
2003-01-17,67.95963879284587,53.93596286762325,49.32641661614655,47.69160527141058,46.53913133271092,46.27103070048797,46.40859230382215
2003-01-21,87.2020954764661,70.08026484436692,60.94816727932737,56.346155220523784,52.01696013359624,50.14638334549753,49.3417216292441
2003-01-22,92.36780892608931,77.26436417930883,67.28920409578245,61.55908714371724,55.63338176350241,52.81459638607272,51.40873923293968
2003-01-23,56.631283608798356,59.419980641022654,56.52701449729073,54.20004970192082,51.36144032146546,49.90948024897042,49.242385828495046
2003-01-24,83.06336849645184,76.74883197351923,70.70298023523141,66.09175536389886,60.08792223338756,56.60726791324061,54.56832058291692
2003-01-27,90.21258066579747,83.50317395702491,77.34374047825207,72.34946165814235,65.34760137459968,60.95955812473639,58.19408444823997
2003-01-28,58.218704457065165,64.10731484561916,63.32777483215298,61.587890651844944,58.288588796307664,55.88325156306936,54.30300781212898
2003-01-29,51.56026863491442,60.04450420800664,60.34148206555025,59.25383384372972,56.71390459305962,54.72881124402138,53.40625578517817
2003-01-30,52.293184130819505,60.31477654865377,60.528999367380095,59.404133849547705,56.82450160809199,54.816034060163275,53.47742759200212
2003-01-31,49.48540258858895,59.115145066972985,59.73462305595058,58.812472750575495,56.442759920978645,54.54189896629982,53.26699905437975
2003-02-03,45.796935559156225,57.73710953622631,58.865510098849015,58.180321465239096,56.04411379942261,54.258753090846525,53.05104996887313
2003-02-04,76.40201583085796,68.09119962372142,65.42948649400773,63.187509565580136,59.552839992170114,56.96310311079033,55.22911401064876
2003-02-05,79.2324872088481,69.53259395375862,66.4001399932453,63.94534765454672,60.0955781853493,57.38616342057132,55.57222601385514
2003-02-06,82.68207494956755,71.2575333201857,67.53545519511877,64.82005184014521,60.71354477918636,57.864669394136804,55.95878783783611
2003-02-07,88.68455899600048,74.88963637677246,69.9661378003931,66.6966117555036,62.03878092297362,58.890205605408156,56.78689903836646
2003-02-10,87.30925108771774,74.5471371452501,69.78803707011592,66.57922804973359,61.97171825787099,58.84492520336858,56.75345195956167
2003-02-11,64.16872916455489,68.70199599129855,66.82147851243928,64.65480764998541,60.89127313213191,58.1219929026426,56.22238524014147
2003-02-12,80.45845554423295,73.85920595949658,69.84513602208771,66.84673814925891,62.348624799530086,59.21819154280708,57.09326124631882
2003-02-13,48.44117615357847,61.980677411930905,63.53196852160734,62.733254998415525,60.05210898055975,57.69090364735573,55.97675258508077
2003-02-14,23.942107475830937,46.572480151946785,54.101076361969525,56.258953516397014,56.28878809633474,55.14669977926373,54.100526374524115
2003-02-18,11.618633116686677,32.86489440451284,43.8602296937318,48.607576549693775,51.51007733619859,51.81305626843904,51.59906082926826
2003-02-19,19.818165463170192,35.865148192072425,45.40024218292214,49.598032234337104,52.08060252715864,52.21231103391991,51.903765013741875
2003-02-20,17.945196851504896,34.478394776023784,44.37319712059957,48.82809218253378,51.598492048536926,51.87592909905292,51.651478932120185
2003-02-21,9.647842083766626,26.904980590788625,38.43846580141162,44.278950055322085,48.70250497542056,49.84310676797725,50.122499745355185
2003-02-24,61.03027692508752,51.3059276325566,52.1311974233782,53.30196341546027,53.90963054844706,53.46086790543985,52.86645391316818
2003-02-25,54.57219338602333,48.60480567629353,50.38225456176728,52.02695194322615,53.11762366923038,52.90843137128283,52.45233497120626
2003-02-26,59.87909593278945,51.17530930038411,51.895255442309086,53.04797281320205,53.71758467167042,53.327812394507426,52.77126492572057
2003-02-27,26.78707432370772,35.95991961590226,41.7887414504574,45.58613134537801,49.03357325003568,50.04889177898201,50.31014727431621
2003-02-28,17.51783723663322,29.28966472460422,36.6617393480276,41.51943793315635,46.30475374255281,48.079880956104745,48.80712460640878
2003-03-03,43.55865769310349,40.96932196636027,43.583409864374104,46.17555783616363,48.977243982510316,49.90779006921555,50.17586268302237
2003-03-04,69.13664364972689,56.17193012652501,53.57219691685224,53.277321555254666,53.28542174309645,52.93365872607756,52.476154662124145
2003-03-05,40.5720698772412,42.55183399687617,44.41035136571375,46.36525088463316,48.76954288527427,49.68973747966258,50.00272035702045
