Date,BB_upper_3,BB_middle_3,BB_lower_3,BB_upper_6,BB_middle_6,BB_lower_6,BB_upper_9,BB_middle_9,BB_lower_9,BB_upper_12,BB_middle_12,BB_lower_12,BB_upper_18,BB_middle_18,BB_lower_18,BB_upper_24,BB_middle_24,BB_lower_24,BB_upper_30,BB_middle_30,BB_lower_30
2003-01-02,31.486888414981394,27.876667022705078,24.266445630428763,30.97547507753389,27.84000015258789,24.70452522764189,31.082730748964707,27.795555538601345,24.508380328237983,30.660123522564493,27.612500031789143,24.564876541013792,30.899096158893617,27.944444550408257,24.989792941922897,30.78608379753675,28.02333339055379,25.26058298357083,31.123844660836372,27.409999974568684,23.696155288300996
2003-01-03,29.659325493759326,26.230000178019207,22.800674862279088,31.399584336767063,27.538333574930828,23.677082813094593,30.50052834340271,27.18111122979058,23.86169411617845,30.86761576336073,27.482500076293945,24.09738438922716,30.980028257580198,27.711111280653213,24.44219430372623,30.974064277101057,27.916250069936115,24.858435862771174,31.15999440848332,27.318999989827475,23.47800557117163
2003-01-06,25.584902862910994,24.99333318074544,24.40176349857989,31.466926701519917,27.128333409627277,22.789740117734638,30.593909122644384,26.98111131456163,23.368313506478877,30.991027932563547,27.336666742960613,23.68230555335768,30.533193686599404,27.385000122918022,24.23680655923664,31.091780224899395,27.80833339691162,24.524886568923847,31.177472480510165,27.30533332824707,23.433194175983974
2003-01-07,25.2741192056267,24.906666437784832,24.539213669942963,30.316620678172015,26.391666730244953,22.46671278231789,30.636813558846246,26.862222247653538,23.08763093646083,30.867691734796782,27.073333263397217,23.27897479199765,30.417264813483833,27.18333339691162,23.94940198033941,31.16359399923676,27.711250066757202,24.258906134277645,31.08934405008671,27.349333318074546,23.609322586062383
2003-01-08,25.703290787962597,25.18999989827474,24.67670900858688,28.37335701969746,25.710000038146973,23.046643056596487,30.619395392729118,26.75555568271213,22.891715972695145,30.045350293929427,26.68333339691162,23.321316499893815,30.36557009868594,27.059444533454048,23.753318968222157,31.143301574929914,27.59458343187968,24.045865288829447,30.90165698447801,27.42833334604899,23.955009707619972
2003-01-09,26.039330269471282,24.96999994913737,23.90066962880346,25.846105950391493,24.981666564941406,24.11722717949132,30.54058186516448,26.40888892279731,22.27719598043014,30.098903114597107,26.478333473205566,22.857763831814026,30.434360766069613,26.89055559370253,23.346750421335447,31.143465682405775,27.40000009536743,23.656534508329088,30.884978632524025,27.43433335622152,23.983688079919013
2003-01-10,25.87518883357248,24.700000127156574,23.52481142074067,25.698182979396687,24.803333282470703,23.90848358554472,29.471168737592958,25.827777862548828,22.1843869875047,30.134451155783772,26.321666717529297,22.50888227927482,30.346740249938517,26.676111115349663,23.00548198076081,30.920496098002193,27.15916673342387,23.397837368845547,30.971290981509927,27.379333368937175,23.787375756364423
2003-01-13,25.07263721236221,24.489999771118164,23.90736232987412,25.729644224722975,24.839999834696453,23.95035544466993,27.786307011317113,25.303333282470703,22.820359553624293,30.079072522045163,26.18916670481364,22.29926088758212,30.358008129065475,26.601666662428116,22.845325195790757,30.787367042899614,26.99333341916402,23.199299795428427,31.00167530381343,27.301000022888182,23.600324741962936
2003-01-14,25.071733517809076,24.59666633605957,24.121599154310065,25.691053400846386,24.78333314259847,23.875612884350552,25.693068602950028,24.85333315531413,24.01359770767823,29.87025534868129,25.955833276112873,22.041411203544456,30.355010029572696,26.485555542839897,22.616101056107098,30.30051023631067,26.734583377838135,23.168656519365598,31.030344014432966,27.20333334604899,23.376322677665012
2003-01-15,25.77210763056482,24.99333318074544,24.214558730926065,25.885812144253443,24.846666653951008,23.807521163648573,25.74307367289412,24.866666581895615,23.99025949089711,28.879468619440182,25.61916669209798,22.35886476475578,30.12125560196482,26.33111106024848,22.540966518532144,30.093261550120143,26.599166711171467,23.10507187222279,31.01165805107019,27.138333384195963,23.265008717321738
2003-01-16,25.798028254627607,25.03000005086263,24.26197184709765,25.629636132051402,24.7599999109904,23.890363689929394,25.77302063390496,24.90333324008518,24.033645846265397,27.432127423233528,25.234999974568684,23.03787252590384,29.370242012364294,26.04222223493788,22.71420245751147,29.99919582558944,26.484583377838135,22.96997093008683,30.94790735680363,27.027666727701824,23.10742609860002
2003-01-17,25.988694541397408,25.406667073567707,24.824639605738007,25.97033775063055,25.00166670481364,24.032995658996732,25.99490203624762,24.991111119588215,23.98732020292881,25.909920155784004,24.99166663487752,24.07341311397104,29.301236083384158,25.986111217074924,22.67098635076569,29.929661204287953,26.418333371480305,22.907005538672657,30.803601931473608,26.920333417256675,23.03706490303974
2003-01-21,28.28119251587637,26.100000381469727,23.918808247063083,27.52321849523034,25.546666781107586,23.570115066984833,27.1885172385236,25.264444563123917,23.340371887724235,26.87978770758408,25.175000031789143,23.470212355994207,29.458578778341423,26.063333405388725,22.668088032436028,29.86341301694116,26.393750031789143,22.924087046637126,30.546589937363837,26.836666742960613,23.12674354855739
2003-01-22,30.14500350575282,27.43333371480306,24.7216639238533,29.353769201574487,26.231666882832844,23.1095645640912,28.701990307605467,25.651111178927952,22.600232050250437,28.220275980160892,25.53583335876465,22.851390737368405,29.85550511944469,26.20333343082004,22.551161742195394,30.1316149932585,26.509166717529297,22.886718441800095,30.56075070464027,26.841000111897788,23.121249519155306
2003-01-23,29.411284110436853,28.043333689371746,26.67538326830664,29.563491707296606,26.725000381469727,23.886509055642847,29.093392439851797,26.01555569966634,22.937718959480883,28.619575319905135,25.7541667620341,22.888758204163064,29.87646763722176,26.212222311231827,22.547976985241892,30.190518554015526,26.545416752497356,22.900314950979187,30.165469258023833,26.732666778564454,23.299864299105074
