Date,High_Low_Diff_3,High_Low_Diff_6,High_Low_Diff_9,High_Low_Diff_12,High_Low_Diff_18,High_Low_Diff_24,High_Low_Diff_30,High_Low_Diff_36,High_Low_Diff_42,High_Low_Diff_48,High_Low_Diff_54,High_Low_Diff_60
2003-01-02,5.510000228881832,5.510000228881832,5.520000457763672,5.520000457763672,5.880001068115234,7.2300014495849645,8.150001525878906,8.85000038146973,9.549999237060547,11.380001068115234,13.220001220703125,20.38999938964843
2003-01-03,4.940000534057617,6.14999961853027,6.14999961853027,6.159999847412109,6.520000457763672,6.520000457763672,8.150001525878906,8.85000038146973,9.549999237060547,10.479999542236328,12.560001373291016,19.53000259399414
2003-01-06,4.44999885559082,6.539999008178707,6.539999008178707,6.549999237060547,6.549999237060547,6.909999847412109,8.150001525878906,8.85000038146973,9.549999237060547,10.479999542236328,12.560001373291016,16.34000015258789
2003-01-07,1.3999996185302734,6.539999008178707,6.539999008178707,6.549999237060547,6.549999237060547,6.909999847412109,8.150001525878906,8.150001525878906,9.549999237060547,10.479999542236328,12.560001373291016,14.130001068115234
2003-01-08,1.4699993133544957,5.329999923706055,6.539999008178707,6.539999008178707,6.549999237060547,6.909999847412109,7.579999923706055,8.150001525878906,8.85000038146973,9.549999237060547,12.560001373291016,14.130001068115234
2003-01-09,1.7399997711181676,4.719999313354492,6.809999465942379,6.809999465942379,6.819999694824219,7.180000305175781,7.2300014495849645,8.150001525878906,8.85000038146973,9.549999237060547,12.560001373291016,13.220001220703125
2003-01-10,1.7399997711181676,1.7399997711181676,6.809999465942379,6.809999465942379,6.819999694824219,7.180000305175781,7.2300014495849645,8.150001525878906,8.85000038146973,9.549999237060547,11.380001068115234,13.220001220703125
2003-01-13,1.4599990844726562,1.7399997711181676,5.600000381469727,6.809999465942379,6.819999694824219,7.180000305175781,7.180000305175781,8.150001525878906,8.85000038146973,9.549999237060547,10.479999542236328,12.560001373291016
2003-01-14,1.3299999237060511,1.7399997711181676,4.719999313354492,6.809999465942379,6.819999694824219,6.819999694824219,7.180000305175781,8.150001525878906,8.85000038146973,9.549999237060547,10.479999542236328,12.560001373291016
2003-01-15,1.630001068115238,1.9899997711181676,1.9899997711181676,6.809999465942379,6.819999694824219,6.819999694824219,7.180000305175781,8.150001525878906,8.150001525878906,9.549999237060547,10.479999542236328,12.560001373291016
2003-01-16,1.630001068115238,1.9899997711181676,1.9899997711181676,5.600000381469727,6.809999465942379,6.819999694824219,7.180000305175781,7.579999923706055,8.150001525878906,8.85000038146973,9.549999237060547,12.560001373291016
2003-01-17,1.3199996948242223,1.8600006103515625,1.9899997711181676,4.719999313354492,6.809999465942379,6.819999694824219,7.180000305175781,7.2300014495849645,8.150001525878906,8.85000038146973,9.549999237060547,12.560001373291016
2003-01-21,3.010000228881836,3.3200016021728516,3.6800003051757812,3.6800003051757812,6.809999465942379,6.819999694824219,7.180000305175781,7.2300014495849645,8.150001525878906,8.85000038146973,9.549999237060547,11.380001068115234
2003-01-22,3.879999160766598,4.70000076293945,5.059999465942379,5.059999465942379,6.809999465942379,6.819999694824219,7.180000305175781,7.180000305175781,8.150001525878906,8.85000038146973,9.549999237060547,10.479999542236328
2003-01-23,2.460000991821289,4.5,5.04000091552734,5.170000076293945,6.809999465942379,6.819999694824219,6.819999694824219,7.180000305175781,8.150001525878906,8.85000038146973,9.549999237060547,10.479999542236328
2003-01-24,5.059999465942383,7.719999313354492,8.030000686645508,8.389999389648438,8.389999389648438,8.389999389648438,8.389999389648438,8.389999389648438,9.360000610351562,9.360000610351562,9.549999237060547,10.479999542236328
2003-01-27,7.980001449584961,10.130001068115234,10.950002670288086,11.310001373291016,11.310001373291016,11.310001373291016,11.310001373291016,11.310001373291016,11.710000991821289,12.28000259399414,12.28000259399414,12.28000259399414
2003-01-28,6.880001068115234,8.60000228881836,10.64000129699707,11.18000221252441,11.310001373291016,11.310001373291016,11.310001373291016,11.310001373291016,11.360002517700199,12.28000259399414,12.28000259399414,12.28000259399414
2003-01-29,4.280002593994141,7.980001449584961,10.64000129699707,10.950002670288086,11.310001373291016,11.310001373291016,11.310001373291016,11.310001373291016,11.360002517700199,12.28000259399414,12.28000259399414,12.28000259399414
2003-01-30,3.8100013732910156,7.980001449584961,10.130001068115234,10.950002670288086,11.310001373291016,11.310001373291016,11.310001373291016,11.310001373291016,11.310001373291016,12.28000259399414,12.28000259399414,12.28000259399414
2003-01-31,2.630001068115238,6.880001068115234,8.60000228881836,10.64000129699707,11.310001373291016,11.310001373291016,11.310001373291016,11.310001373291016,11.310001373291016,12.28000259399414,12.28000259399414,12.28000259399414
