Date,AROON_down_3,AROON_up_3,AROON_down_6,AROON_up_6,AROON_down_9,AROON_up_9,AROON_down_12,AROON_up_12,AROON_down_18,AROON_up_18,AROON_down_24,AROON_up_24,AROON_down_30,AROON_up_30
2003-01-02,100.0,33.333333333333336,100.0,66.66666666666667,100.0,11.11111111111111,100.0,33.333333333333336,100.0,11.11111111111111,4.166666666666667,33.333333333333336,13.333333333333334,46.66666666666667
2003-01-03,100.0,0.0,100.0,50.0,100.0,0.0,100.0,25.0,100.0,5.555555555555555,0.0,29.166666666666668,10.0,43.333333333333336
2003-01-06,100.0,0.0,100.0,33.333333333333336,100.0,55.55555555555556,100.0,16.666666666666668,100.0,0.0,100.0,25.0,6.666666666666667,40.0
2003-01-07,66.66666666666667,0.0,83.33333333333334,16.666666666666668,88.88888888888889,44.44444444444444,91.66666666666667,8.333333333333334,94.44444444444444,38.888888888888886,95.83333333333334,20.833333333333336,3.3333333333333335,36.66666666666667
2003-01-08,33.333333333333336,100.0,66.66666666666667,0.0,77.77777777777777,33.33333333333333,83.33333333333334,0.0,88.88888888888889,33.33333333333333,91.66666666666667,16.666666666666668,0.0,33.333333333333336
2003-01-09,100.0,66.66666666666667,100.0,0.0,100.0,22.22222222222222,100.0,41.66666666666667,100.0,27.77777777777778,100.0,12.5,0.0,30.0
2003-01-10,66.66666666666667,33.333333333333336,83.33333333333334,0.0,88.88888888888889,11.11111111111111,91.66666666666667,33.333333333333336,94.44444444444444,22.22222222222222,95.83333333333334,8.333333333333334,3.3333333333333335,26.666666666666668
2003-01-13,33.333333333333336,0.0,66.66666666666667,50.0,77.77777777777777,0.0,83.33333333333334,25.0,88.88888888888889,16.666666666666664,91.66666666666667,4.166666666666667,0.0,23.333333333333336
2003-01-14,0.0,66.66666666666667,50.0,33.333333333333336,66.66666666666666,0.0,75.0,16.666666666666668,83.33333333333333,11.11111111111111,87.5,0.0,90.0,20.0
2003-01-15,0.0,100.0,33.333333333333336,100.0,55.55555555555556,0.0,66.66666666666667,8.333333333333334,77.77777777777777,5.555555555555555,83.33333333333334,29.166666666666668,86.66666666666667,16.666666666666668
2003-01-16,33.333333333333336,66.66666666666667,16.666666666666668,83.33333333333334,44.44444444444444,88.88888888888889,58.333333333333336,0.0,72.22222222222221,0.0,79.16666666666667,25.0,83.33333333333334,13.333333333333334
2003-01-17,0.0,33.333333333333336,0.0,66.66666666666667,33.33333333333333,77.77777777777777,50.0,0.0,66.66666666666666,27.77777777777778,75.0,20.833333333333336,80.0,10.0
2003-01-21,33.333333333333336,100.0,0.0,100.0,22.22222222222222,100.0,41.66666666666667,0.0,61.11111111111111,22.22222222222222,70.83333333333334,16.666666666666668,76.66666666666667,6.666666666666667
2003-01-22,0.0,100.0,16.666666666666668,100.0,11.11111111111111,100.0,33.333333333333336,100.0,55.55555555555556,16.666666666666664,66.66666666666667,12.5,73.33333333333334,3.3333333333333335
2003-01-23,0.0,100.0,0.0,100.0,0.0,100.0,25.0,100.0,50.0,11.11111111111111,62.50000000000001,8.333333333333334,70.0,0.0
2003-01-24,0.0,100.0,16.666666666666668,100.0,0.0,100.0,16.666666666666668,100.0,44.44444444444444,100.0,58.333333333333336,100.0,66.66666666666667,100.0
2003-01-27,33.333333333333336,100.0,0.0,100.0,11.11111111111111,100.0,8.333333333333334,100.0,38.888888888888886,100.0,54.16666666666667,100.0,63.333333333333336,100.0
2003-01-28,0.0,66.66666666666667,0.0,83.33333333333334,0.0,88.88888888888889,0.0,91.66666666666667,33.33333333333333,94.44444444444444,50.0,95.83333333333334,60.0,96.66666666666667
2003-01-29,0.0,33.333333333333336,0.0,66.66666666666667,11.11111111111111,77.77777777777777,0.0,83.33333333333334,27.77777777777778,88.88888888888889,45.833333333333336,91.66666666666667,56.66666666666667,93.33333333333334
2003-01-30,100.0,0.0,16.666666666666668,50.0,0.0,66.66666666666666,8.333333333333334,75.0,22.22222222222222,83.33333333333333,41.66666666666667,87.5,53.333333333333336,90.0
2003-01-31,100.0,0.0,0.0,33.333333333333336,0.0,55.55555555555556,0.0,66.66666666666667,16.666666666666664,77.77777777777777,37.5,83.33333333333334,50.0,86.66666666666667
2003-02-03,66.66666666666667,0.0,0.0,16.666666666666668,0.0,44.44444444444444,8.333333333333334,58.333333333333336,11.11111111111111,72.22222222222221,33.333333333333336,79.16666666666667,46.66666666666667,83.33333333333334
2003-02-04,33.333333333333336,100.0,66.66666666666667,0.0,11.11111111111111,33.33333333333333,0.0,50.0,5.555555555555555,66.66666666666666,29.166666666666668,75.0,43.333333333333336,80.0
2003-02-05,0.0,66.66666666666667,50.0,0.0,0.0,22.22222222222222,0.0,41.66666666666667,0.0,61.11111111111111,25.0,70.83333333333334,40.0,76.66666666666667
2003-02-06,0.0,100.0,33.333333333333336,100.0,0.0,11.11111111111111,0.0,33.333333333333336,0.0,55.55555555555556,20.833333333333336,66.66666666666667,36.66666666666667,73.33333333333334
2003-02-07,33.333333333333336,100.0,16.666666666666668,100.0,44.44444444444444,0.0,8.333333333333334,25.0,5.555555555555555,50.0,16.666666666666668,62.50000000000001,33.333333333333336,70.0
2003-02-10,0.0,100.0,0.0,100.0,33.33333333333333,100.0,0.0,100.0,0.0,100.0,12.5,100.0,30.0,100.0
2003-02-11,100.0,66.66666666666667,0.0,83.33333333333334,22.22222222222222,88.88888888888889,0.0,91.66666666666667,5.555555555555555,94.44444444444444,8.333333333333334,95.83333333333334,26.666666666666668,96.66666666666667
