Date,EMA_3,EMA_6,EMA_9,EMA_12,EMA_18,EMA_24,EMA_30,EMA_36,EMA_42,EMA_48,EMA_54,EMA_60
2003-01-02,27.090519906068504,27.57358459887659,27.683633108544427,27.732956466130805,27.827400196308353,27.99710180251792,28.24066392853866,28.52196723376125,28.807780323723254,29.071004076999095,29.314895840099485,29.55144208577838
2003-01-03,25.885260105622145,26.746846229247787,27.0829065478707,27.263270902906957,27.49609494461019,27.73173368273055,28.010943694773314,28.314293345729602,28.61579055541872,28.891779433251205,29.14635418428408,29.391722683135672
2003-01-06,25.397629976517127,26.222032977294734,26.64832520777898,26.901229202061597,27.223874408063022,27.505994975905075,27.81088280139517,28.130277480955684,28.443428196906783,28.72925781750267,28.992304935670553,29.244780950816867
2003-01-07,25.263814568641862,25.910023315429555,26.344659998376507,26.6287322726316,27.00346648729498,27.315915310694,27.637922566515908,27.968100274458976,28.289315218481658,28.5823493009012,28.851857452946774,29.109870072454562
2003-01-08,25.396907627643685,25.801445421491255,26.18172813603031,26.459696644018354,26.848364824068717,27.173042140770118,27.50192760652427,27.83631110755014,28.160975007698582,28.457763643176477,28.73106266144491,28.992497305706724
2003-01-09,24.823453813821843,25.35817530106518,25.795382508824247,26.119743314169376,26.57485273732464,26.939198769508508,27.292125825458186,27.64245645308797,27.97906919338702,28.286018188352948,28.56811492830146,28.83700559076552
2003-01-10,24.57172675432303,25.061553699282047,25.50030594602424,25.842859680423967,26.33749978548249,26.729662843533763,27.100375752514058,27.462864195884524,27.808879914384097,28.12413988249463,28.41363801072047,28.688907036800234
2003-01-13,24.735863186426656,25.015395390495826,25.380244680525447,25.697804286286477,26.186183978434887,26.583289785533484,26.95841600193446,27.324330975486998,27.673583156437406,27.992542320700167,28.285869341913553,28.564680564070073
2003-01-14,24.652931440625437,24.888139477446796,25.2181956833852,25.524295887599976,26.016059317002185,26.422226578276742,26.804324627282185,27.17544820355928,27.529230437292608,27.852846703317475,28.150746809292123,28.433707420816113
2003-01-15,25.081465834753637,25.06581397785681,25.27655659248453,25.522096555489494,25.962789939305306,26.34924847032515,26.720819827385387,27.085423988711852,27.43531275318048,27.757220316605817,28.054719660913566,28.337848168621548
2003-01-16,25.04573303181774,25.04986719243539,25.22324531976399,25.44331250524216,25.86249628557652,26.242108611009687,26.610444369417415,26.973238920612932,27.32250751949217,27.64508888445382,27.944002590657867,28.22873840010549
2003-01-17,25.372866897378596,25.235619641150837,25.31859640839908,25.48280300642636,25.845391493719987,26.198739983164067,26.55170607222529,26.904415236414366,27.247042088954835,27.565697532555273,27.862402524195378,28.145828969378737
2003-01-21,26.481433524983245,25.90829978727571,25.77287715723684,25.806987182758903,26.029034510442923,26.310040796717974,26.618692787087394,26.941473880531852,27.262993626798234,27.566689476230074,27.85249698340965,28.12760507374625
2003-01-22,27.74571687693254,26.794499913448888,26.420301771565843,26.29975842062397,26.342820375541756,26.526037551291083,26.772970686558004,27.053286115577798,27.34424974782538,27.625600119195454,27.89458801051773,28.15653606243922
2003-01-23,27.637858781789024,27.004642991505065,26.642241554581776,26.48902646155036,26.467786724078994,26.60635460211944,26.82181133172494,27.079054470770647,27.352889326375152,27.621698101540353,27.88133028964965,28.135993918970573
2003-01-24,29.573929505335432,28.291887916469857,27.61579328944179,27.26148396421674,26.99854604037403,26.998646252260432,27.124275131541516,27.31856505229017,27.546243321840578,27.7804043108196,28.013281923803547,28.24661707667258
2003-01-27,32.131964066022206,30.119919547966752,29.030634356895227,28.404332373830933,27.808172628409288,27.613954442216315,27.61238632477813,27.717020921177674,27.87851101043911,28.062428568611,28.256071622091017,28.457875488149185
2003-01-28,32.030982185598994,30.637085478597903,29.61050754655134,28.946742824807064,28.242049225963655,27.95923811125307,27.890942065448947,27.944749536528924,28.066952372985,28.220288639491194,28.389669028748646,28.57171564608448
2003-01-29,31.64549120724042,30.81506112153617,29.94040608301744,29.302628579280107,28.559728278902412,28.223299080663374,28.108300656638164,28.12395227665611,28.215466226747644,28.34435850028265,28.49404470875349,28.659856124208986
2003-01-30,31.48274545103232,30.959329285332757,30.216324805378797,29.612993366286894,28.85028316478892,28.471035129796242,28.315507046198555,28.29671159655709,28.359863132239578,28.465813242916997,28.59680670824697,28.74707394619637
2003-01-31,31.32637276366313,31.019520939893095,30.407059859561826,29.852532860134133,29.094463892315765,28.686952325516057,28.49966788684987,28.452024487353675,28.490567176149085,28.576188215707894,28.69037737617595,28.826514147183175
2003-02-03,31.1731866107134,31.019657944998976,30.529647979202196,30.032143259769448,29.297151951836597,28.873596176095866,28.66226998819915,28.59083399926773,28.608215235759065,28.67593565415915,28.775090942779137,28.898431731136633
2003-02-04,31.966592466123302,31.516898052580185,30.975718047668398,30.451813269271565,29.66166209601519,29.18450834773085,28.92663955809167,28.8161942329037,28.80132142579507,28.842632089562173,28.91999666564292,29.025040471805372
2003-02-05,32.50329669082532,31.952070299136516,31.38857462124019,30.849995984080145,30.017276708595414,29.49294775315457,29.19201771018429,29.044508107640116,28.99846930903843,29.01395326613218,29.069815002002354,29.15667851914052
2003-02-06,32.92664758247321,32.35147834913211,31.78085939181637,31.234611751778754,30.36808952601917,29.801511810831894,29.460274533664084,29.277237316639088,29.200866014391114,29.19093470319295,29.225458037352126,29.29416441930382
2003-02-07,33.468322952003206,32.825341198389566,32.226687177759736,31.661594300971746,30.751448346599595,30.138190731688,29.75380510062338,29.533062235822552,29.424546586816327,29.38763117741092,29.399441320413256,29.448781924294945
